Area Name,Time Period,Main road accessibility,Local roads density,Motorcycles density,Vehicles density,Active companies rate,Municipality employment rate,Unemployed rate,Transport and storage investments rate,Doctors accessibility,Preschool children enrollment rate,Tourists Arrivals,GVA Per Capita Normalized
Barajevo,2011,10.33309165,0.478727349,0.422535211,27.4741784,9.316770186,0.196460518,68,0,1.4,2.080191129,181,-0.342762389
Barajevo,2012,10.38677795,0.478727349,0.582159624,28.84976526,9.290322581,0.172495587,82,0,1.3,2.155681105,138,-0.344245382
Barajevo,2013,10.35697087,0.478727349,0.591549296,30.05633803,9.895141043,0.172841567,84,0,1.3,2.198897371,1073,-0.271456647
Barajevo,2014,10.35504802,0.478727349,0.596244131,30.72769953,10.39547187,0.174261223,82,0,1.2,2.254324151,1356,-0.315615176
Barajevo,2015,10.37466562,0.478727349,0.600938967,31.50234742,10.95768704,0.197491265,82,0,1.3,2.30193133,1419,-0.265853216
Barajevo,2016,10.3522345,0.478727349,0.61971831,32.80751174,12.32238011,0.214260849,76,0,1.3,2.312176166,1587,-0.313245376
Barajevo,2017,10.37466562,0.478727349,0.624413146,33.92488263,13.31404836,0.236761771,65,0,1.1,2.332103321,944,-0.347361205
Barajevo,2018,10.40362558,0.478727349,0.577464789,34.33333333,15.82573078,0.237698578,55,0,1.3,2.434411893,2298,-0.367726416
Barajevo,2019,10.36238368,0.479141575,0.568075117,36.46478873,13.80700052,0.26028968,50,0,1.3,2.605621432,4224,-0.334472897
Barajevo,2020,10.41172321,0.479601826,0.685446009,38.05164319,13.92424016,0.270471767,50,0,1.2,2.348733896,1115,-0.31155796
Barajevo,2021,10.22393405,0.481120655,0.779342723,39.62441315,13.60493085,0.280551622,50,0,1.2,2.681388013,2336,-0.31875317
Voždovac,2011,0.761148408,34.15804482,6.662162162,281.8986486,22.94569918,0.414464788,58,2.805135436,1.2,3.004300364,58228,0.438979261
Voždovac,2012,0.761148408,34.15804482,8.898648649,290.6216216,23.63061975,0.435150565,62,0.288268413,1.2,3.186427518,50626,0.538596603
Voždovac,2013,0.761148408,34.15804482,9.5,304.722973,25.49777524,0.398806726,66,0.288268413,1.1,3.349647113,52687,0.371757068
Voždovac,2014,0.761148408,34.4977027,10.08783784,317.6013514,26.8679319,0.393217494,66,0.462537554,1.1,3.21280624,55414,0.267176458
Voždovac,2015,0.761148408,34.4977027,10.00675676,325.8851351,28.20078282,0.404372556,63,1.975152433,1,3.902299915,56625,0.32302779
Voždovac,2016,0.761148408,34.4977027,10.45945946,337.527027,30.03029923,0.433970299,59,1.999826691,0.9,4.22600608,60016,0.379056642
Voždovac,2017,0.761148408,34.15804482,10.78378378,351.3648649,31.46657791,0.457852959,47,2.297006693,0.9,4.371963347,73353,0.540500624
Voždovac,2018,0.761148408,34.4977027,10.32432432,360.1148649,35.58377408,0.47875483,41,2.082189752,0.9,4.623848087,89229,0.69251588
Voždovac,2019,0.761148408,34.4977027,10.74324324,374.9527027,31.93014543,0.503371753,35,1.949143043,1,4.751389747,92437,0.725595471
Voždovac,2020,0.761148408,34.15804482,11.83108108,387.472973,32.45980802,0.53001107,41,3.051958071,0.9,4.500964434,23562,0.727110208
Voždovac,2021,0.761148408,34.15804482,12.91891892,402.1554054,33.38931613,0.529497991,35,1.543616488,0.9,4.418357488,45448,0.709067932
Vračar,2011,0.829066065,0.506038425,218.3333333,6417.333333,48.76189801,0.93749354,49,0.046439903,3.3,5.806657132,68952,2.041815122
Vračar,2012,0.829066065,0.506038425,291.3333333,6634.666667,51.69494515,0.91438914,48,0.275000882,3.2,5.381996685,78320,1.872688242
