Area Name,Time Period,Motorcycle Density,Doctors Accessibility,Vehicles Density,Primary School Attendance,Secondary School Attendance,Assistance and Care Allowance Share,Poverty Share,Local Roads Density,Main Roads Accessibility,Net Migrations per 1000 inhabitants
Barajevo,2012,0.582159624,1.3,28.84976526,1124.470588,562.2352941,0.4,6.6,0,0.66359447,12.05529954
Barajevo,2013,0.591549296,1.3,30.05633803,1109.647059,554.8235294,0.4,6.7,0,0.646137941,3.766061143
Barajevo,2014,0.596244131,1.2,30.72769953,1101.882353,550.9411765,0.4,5.4,125.4290047,0.647404831,2.441641079
Barajevo,2015,0.600938967,1.3,31.50234742,1096.470588,548.2352941,0.4,5.7,254.0396901,0.647836227,3.590863658
Barajevo,2016,0.61971831,1.3,32.80751174,1089.882353,544.9411765,0.4,5.5,301.0936291,0.647572528,7.178804026
Barajevo,2017,0.624413146,1.1,33.92488263,1084,542,0.4,5.2,334.4802582,0.586708204,4.932502596
Barajevo,2018,0.577464789,1.3,34.33333333,1076.235294,538.1176471,0.4,5.2,620.3322676,0.589089555,3.463042264
Barajevo,2019,0.568075117,1.3,36.46478873,1071.529412,535.7647059,0.4,5.3,620.3322676,0.590342563,2.425554146
Barajevo,2020,0.685446009,1.2,38.05164319,1059.294118,529.6470588,0.4,4.7,620.3322676,0.592154514,5.015720916
Barajevo,2021,0.779342723,1.2,39.62441315,1044.235294,522.1176471,0.4,4.3,620.3322676,0.594558028,4.998496693
Voždovac,2012,8.898648649,1.2,290.6216216,808.0941176,865.8151261,0.4,4.8,775.9000878,0.06972875,7.300005034
Voždovac,2013,9.5,1.1,304.722973,813.4588235,871.5630252,0.4,5.3,1510.69723,0.06972875,6.046633026
Voždovac,2014,10.08783784,1.1,317.6013514,776.7352941,887.697479,0.4,4.5,1823.844412,0.06972875,21.28062334
Voždovac,2015,10.00675676,1,325.8851351,794.1470588,907.5966387,0.4,4.9,2125.615514,0.06972875,14.83013793
Voždovac,2016,10.45945946,0.9,337.527027,812.7058824,928.8067227,0.4,5.6,2259.088243,0.06972875,11.7252631
Voždovac,2017,10.78378378,0.9,351.3648649,828.1176471,946.4201681,0.5,5.9,2788.86927,0.06972875,8.33323427
Voždovac,2018,10.32432432,0.9,360.1148649,842.5882353,842.5882353,0.5,6.1,2983.324209,0.06972875,5.324536102
Voždovac,2019,10.74324324,1,374.9527027,857.1176471,857.1176471,0.5,6.3,2983.324209,0.06972875,6.112274698
Voždovac,2020,11.83108108,0.9,387.472973,869.1470588,869.1470588,0.5,6.5,2983.324209,0.06972875,5.423708851
Voždovac,2021,12.91891892,0.9,402.1554054,882.7941176,882.7941176,0.5,6.4,2983.324209,0.06972875,3.871652082
Vračar,2012,291.3333333,3.2,6634.666667,527.2605042,205.0457516,0.3,5.7,665.661,0.219714756,6.790362976
Vračar,2013,303.3333333,3,6904,537.6134454,188.1647059,0.3,6,17806.73967,0.219714756,10.16639111
Vračar,2014,313.3333333,2.9,7077.333333,547.5630252,212.9411765,0.3,5.3,17670.42067,0.219714756,3.460876287
Vračar,2015,306,2.9,7558,564.4369748,197.5529412,0.3,5.2,16551.70867,0.219714756,6.213898127
Vračar,2016,314.3333333,2.9,7625,584.1344538,204.4470588,0.3,5.1,16740.28133,0.219714756,8.126536805
Vračar,2017,326,2.9,7771,600.605042,210.2117647,0.4,7.3,17568.71233,0.219714756,6.001774438
Vračar,2018,302.6666667,2.9,7877.333333,616.4705882,239.7385621,0.4,8.3,15382.29967,0.219714756,6.66585658
Vračar,2019,335,2.9,8073,629.8487395,220.4470588,0.4,8.8,15382.29967,0.219714756,4.718611726
Vračar,2020,356.6666667,2.7,7972.666667,638.1176471,223.3411765,0.4,8.4,15382.29967,0.219714756,9.557986267
Vračar,2021,373.6666667,2.6,8015.333333,642.8907563,225.0117647,0.4,8.1,15382.29967,0.219714756,4.794746625
Grocka,2012,1.373333333,1.2,64.42333333,1074.756303,1880.823529,0.3,4.2,420.29246,0.248315131,9.175943379
Grocka,2013,1.496666667,1.2,67.03666667,1078.722689,1887.764706,0.4,4.9,679.50018,0.248315131,7.225961595
Grocka,2014,1.553333333,1.2,68.30333333,1076.504202,1883.882353,0.4,4.5,885.54164,0.248315131,4.177717277
Grocka,2015,1.65,1.1,70.29,1079.932773,1889.882353,0.4,4.8,1059.44973,0.248315131,5.078571929
Grocka,2016,1.653333333,1.1,73.45666667,1082.487395,1894.352941,0.4,4.9,1199.087443,0.248315131,5.598206716
Grocka,2017,1.596666667,1.1,77.28333333,1082.016807,1893.529412,0.4,4.9,1384.16698,0.248315131,5.752914077
