Area Name,Time Period,Motorcycle Density,Doctors Accessibility,Vehicles Density,Primary School Attendance,Secondary School Attendance,Assistance and Care Allowance Share,Poverty Share,Local Roads Density,Main Roads Accessibility,Net Migrations per 1000 inhabitants
Barajevo,2012,2,1,3,3,3,1,1,1,1,3
Barajevo,2013,2,1,3,3,3,1,1,1,1,3
Barajevo,2014,2,1,3,3,3,1,1,1,1,3
Barajevo,2015,2,1,3,3,3,1,1,2,1,3
Barajevo,2016,2,1,3,3,3,1,1,2,1,3
Barajevo,2017,2,1,3,3,3,1,1,2,1,3
Barajevo,2018,2,1,3,3,3,1,1,3,1,3
Barajevo,2019,2,1,3,3,3,1,1,U,1,3
Barajevo,2020,2,1,3,3,3,1,1,U,1,3
Barajevo,2021,2,1,3,3,3,1,1,U,1,3
Voždovac,2012,3,1,3,3,3,1,1,3,U,3
Voždovac,2013,3,1,3,3,3,1,1,3,U,3
Voždovac,2014,3,1,3,3,3,1,1,3,U,3
Voždovac,2015,3,1,3,3,3,1,1,3,U,3
Voždovac,2016,3,1,3,3,3,1,1,3,U,3
Voždovac,2017,3,1,3,3,3,1,1,3,U,3
Voždovac,2018,3,1,3,3,3,1,1,3,U,3
Voždovac,2019,3,1,3,3,3,1,1,U,U,3
Voždovac,2020,3,1,3,3,3,1,1,U,U,3
Voždovac,2021,3,1,3,3,3,1,1,U,U,3
Vračar,2012,3,3,3,2,1,1,1,3,U,3
Vračar,2013,3,3,3,2,1,1,1,3,U,3
Vračar,2014,3,3,3,2,1,1,1,3,U,3
Vračar,2015,3,3,3,2,1,1,1,3,U,3
Vračar,2016,3,3,3,2,1,1,1,3,U,3
Vračar,2017,3,3,3,3,1,1,1,3,U,3
Vračar,2018,3,3,3,3,1,1,1,3,U,3
Vračar,2019,3,3,3,3,1,1,2,U,U,3
Vračar,2020,3,3,3,3,1,1,2,U,U,3
Vračar,2021,3,3,3,3,1,1,1,U,U,3
Grocka,2012,3,1,3,3,3,1,1,2,U,3
Grocka,2013,3,1,3,3,3,1,1,3,U,3
Grocka,2014,3,1,3,3,3,1,1,3,U,3
Grocka,2015,3,1,3,3,3,1,1,3,U,3
Grocka,2016,3,1,3,3,3,1,1,3,U,3
Grocka,2017,3,1,3,3,3,1,1,3,U,3
Grocka,2018,3,1,3,3,3,1,1,3,U,3
Grocka,2019,3,1,3,3,3,1,1,U,U,3
Grocka,2020,3,1,3,3,3,1,1,U,U,3
Grocka,2021,3,1,3,3,3,1,1,U,U,3
Zvezdara,2012,3,3,3,3,3,1,1,3,U,3
Zvezdara,2013,3,3,3,3,3,1,1,3,U,3
Zvezdara,2014,3,3,3,3,3,1,1,3,U,3
Zvezdara,2015,3,3,3,3,3,1,1,3,U,3
Zvezdara,2016,3,3,3,3,3,1,1,3,U,3
Zvezdara,2017,3,3,3,3,3,1,1,3,U,3
