Source,Ada,Aleksandrovac,Aleksinac,Alibunar,Apatin,Aranđelovac,Arilje,Babušnica,BajinaBašta,Barajevo,Batočina,Bač,BačkaPalanka,BačkaTopola,BačkiPetrovac,BelaCrkva,BelaPalanka,Beočin,Bečej,Blace,Bogatić,Bojnik,Boljevac,Bor,Bosilegrad,Brus,Bujanovac,CityofUžice,CrnaTrava,CrveniKrst,Crvenikrst,Despotovac,Dimitrovgrad,Doljevac,GadžinHan,Golubac,GornjiMilanovac,Grocka,Inđija,Irig,Ivanjica,Jagodina,Kanjiža,Kikinda,Kladovo,Knić,Knjaževac,Koceljeva,Kosjerić,Kostolac,Kovačica,Kovin,Kragujevac,Kraljevo,Krupanj,Kruševac,Kula,Kuršumlija,Kučevo,Lajkovac,Lapovo,Lazarevac,Lebane,Leskovac,Ljig,Ljubovija,Loznica,Lučani,Majdanpek,MaliIđoš,MaliZvornik,MaloCrniće,Medijana,Medveđa,Merošina,Mionica,Mladenovac,Negotin,NiškaBanja,NovaCrnja,NovaVaroš,NoviBeograd,NoviBečej,NoviKneževac,NoviPazar,NoviSad,Obrenovac,Odžaci,Opovo,Osečina,Palilula(Belgrade),Palilula(Niš),Pantelej,Pančevo,Paraćin,PetrovacnaMlavi,Pećinci,Pirot,Plandište,Požarevac,Požega,Preševo,Priboj,Prijepolje,Prokuplje,Rakovica,Rača,Raška,Ražanj,Rekovac,Ruma,Savskivenac,Senta,Sevojno,Sečanj,Sjenica,Smederevo,SmederevskaPalanka,Sokobanja,Sombor,Sopot,Srbobran,SremskaMitrovica,SremskiKarlovci,StaraPazova,Starigrad,Subotica,Surdulica,Surčin,Svilajnac,Svrljig,Temerin,Titel,Topola,Trgovište,Trstenik,Tutin,Ub,Valjevo,Varvarin,VelikaPlana,VelikoGradište,Vladimirci,VladičinHan,Vlasotince,Voždovac,Vranje,VranjskaBanja,Vračar,Vrbas,VrnjačkaBanja,Vršac,Zaječar,Zemun,Zrenjanin,Zvezdara,Ćićevac,Ćuprija,Čajetina,Čačak,Čoka,Čukarica,Šabac,Šid,Žabalj,Žabari,Žagubica,Žitište,Žitorađa
Ada,,16930,14529,7820,6598,10825,13324,18631,15304,8158,11290,6292,6392,3073,4849,10495,16961,5786,1523,17260,9461,17339,14874,16792,23007,17291,19401,13889,20487,15539,7645,12765,18927,15933,17000,13019,10797,9014,5607,6201,14811,11985,2030,2008,19184,12566,18440,9983,13081,10844,6919,10382,12508,12953,13117,14587,4202,18697,13193,8925,11213,9734,18275,17062,9234,14372,12453,12317,15995,3716,13894,11021,16031,19823,16105,9665,9526,19107,16418,3260,17551,7196,2331,2084,18626,4721,7580,5677,6796,12153,7395,15754,15605,8477,12822,12301,7169,17954,7382,10519,12600,20424,18902,19207,17245,7545,11543,17266,13614,13983,7024,7243,1017,13439,5413,19288,10030,10972,16105,5843,9155,2563,8043,5282,5853,7502,3864,18675,6819,11279,16844,2955,5131,10836,23418,14903,21338,8391,10068,13704,10359,12415,10074,18170,17315,7537,18995,19202,7463,3354,14491,8530,16644,6685,4075,7668,13265,12339,14837,11388,1288,7823,9140,9322,3178,10993,15557,3512,16482
Aleksandrovac,16708,,5114,12358,18448,9819,9423,9370,13009,10693,6154,16382,16043,15258,14467,11406,7700,14336,15248,3195,13978,7559,6700,8618,13746,1338,10140,10012,11226,6278,9911,6576,9665,6300,7739,11162,7399,9011,12135,12809,9050,5433,17017,17257,13403,5592,8937,11124,10076,8987,12354,8921,6531,4558,14449,2438,15193,4632,11110,9200,6310,9777,8495,7800,8268,14646,14990,8441,13249,14788,16931,9164,6770,10043,5803,9564,9153,11014,7157,16222,12584,10408,15734,17455,6570,13724,10383,16115,11958,12428,10173,6493,6344,10672,4721,8780,11578,8693,13967,8662,8723,11163,14558,14239,4670,9938,7063,5209,4300,5174,12208,9991,16689,9562,14370,10266,8532,7588,6298,17693,9336,14221,12656,12935,11577,10228,16503,9413,10916,6699,7583,13913,13224,8734,14157,2456,9282,9532,10342,3672,6651,10558,11759,8909,8054,9936,9734,9940,9913,14346,3085,12933,8470,10506,14142,9730,3467,4920,10961,6988,16950,10945,12606,13989,13490,7285,11159,14931,5590
Aleksinac,14736,5290,,10387,16476,8106,11476,4595,15039,8721,4182,14410,14071,13287,12495,9434,2925,12364,13277,4728,12103,3303,4217,6283,8971,5651,5365,12042,6451,1503,7939,4604,4891,1897,2964,9190,8302,7039,10164,10838,11774,3462,15045,15285,11068,6620,4409,11938,12105,7015,10383,6950,5400,6862,15774,2733,13221,5262,9139,10406,4338,10126,4239,3026,9971,16327,15094,10470,10914,12816,16536,7192,1995,5787,2069,11266,7181,8679,2382,14250,15704,8436,13762,15484,11631,11752,9594,14144,9986,14108,8201,1718,1569,8701,2716,6808,9606,3918,11996,6690,10753,6388,17054,17360,3209,7966,5091,10270,1439,5135,10236,8020,14718,11591,12399,15327,6560,5616,1922,15721,7365,12249,10684,10963,9605,8256,14531,4639,8944,4727,2808,11942,11252,6961,9382,4760,14343,10346,12023,2660,4679,8587,11986,4134,3279,7964,4959,5166,7942,12374,5390,10961,6135,8534,12170,7759,2221,2948,12990,9018,14978,8973,11797,12017,11518,5313,8824,12959,2446
Alibunar,7750,12603,10202,,12186,7645,11693,14304,13673,6017,6962,10120,9712,8955,8136,2978,12633,8229,6590,12933,8183,13011,10547,12465,18680,12964,15074,12258,16160,11212,3815,8437,14599,11605,12673,7175,9166,5823,5873,6918,13180,7657,9784,6566,13340,9401,14113,8352,11450,6364,2638,3894,8180,11322,11855,10260,8931,14370,8713,7294,6885,7592,13948,12734,7603,12741,11175,10686,11515,8526,12616,6541,11704,15496,11778,8034,6346,13263,12090,5217,15920,4626,6113,9457,16995,7393,5875,9853,3477,10522,3781,11426,11278,2107,8494,7821,5687,13627,1609,6039,10969,16097,17271,17576,12918,4935,7216,15635,9287,9656,6317,4129,8767,11808,2371,17657,4453,6657,11777,11431,6276,7681,6765,6673,5315,3588,10241,14347,5024,6952,12517,6653,4785,7657,19090,11683,19707,6760,8437,9377,6032,6207,8266,13843,12988,4311,14668,14874,3897,8084,11920,1861,12317,3954,4214,4267,8938,8012,13206,9757,8661,5358,7878,8098,5705,6666,11077,4242,12155
Apatin,6612,18756,16355,12287,,12651,15150,20457,17130,9984,13116,3228,4451,3544,4185,14404,18787,7242,5934,19086,10416,19165,16700,18618,24833,19117,21227,15715,22313,17365,9471,14591,20753,17759,18826,14845,12623,10840,7433,7517,16637,13811,5992,8155,21010,14392,20266,11809,14907,12670,9722,12208,14334,14779,14432,16413,3252,20523,15019,10751,13039,11560,20101,18888,11060,16198,13407,14143,17821,4212,14848,12847,17857,21649,17931,11491,11352,20933,18244,9138,19377,9022,6743,6363,20452,5828,9406,2338,9426,13921,9221,17580,17431,10303,14648,14127,8995,19780,11900,12345,14426,22250,20728,21033,19071,9371,13369,19092,15440,15809,8340,9069,5812,15265,9931,21114,11856,12798,17931,1188,10981,4900,8703,6837,7679,9328,4144,20501,8645,13105,18670,5657,7572,12662,25244,16729,23164,10217,11894,15530,12185,14241,11390,19996,19141,9363,20821,21028,9289,4253,16317,13048,18470,8511,8226,9494,15091,14165,16663,13214,6072,9649,10455,9773,6596,12819,17383,8907,18308
Aranđelovac,10831,10000,7788,7600,12570,,6908,11891,9783,3098,4078,10504,10166,9381,8590,7130,10220,8458,9371,10519,8197,10598,8134,10052,16267,10358,12661,7473,13747,8799,4033,5928,12186,9192,10260,6966,3306,3718,6258,6932,8090,5244,11140,11380,13131,4191,11699,5283,7317,4791,7118,4646,3576,6181,8653,7847,9316,11956,7140,2724,3688,2019,11534,10321,2771,8851,9195,5902,9942,8911,11135,4968,9290,13082,9364,3442,1469,12448,9677,10344,11136,4530,9857,11578,11854,7847,4317,10238,6080,6632,4296,9013,8865,5616,6081,6086,5701,11214,9209,4465,6184,13683,12486,12792,10504,4061,2985,10494,6874,5518,6330,4114,10812,7023,9134,12567,3977,2951,9364,11815,2228,8344,6778,7058,5700,4350,10626,11934,5038,4442,10104,8036,7347,1165,16677,7449,14566,3691,4547,6963,3694,6362,5978,11430,10574,4059,12254,12461,4036,8469,7310,8657,9904,4628,8264,3853,6524,5599,8422,4667,11072,4198,6824,8112,7612,4440,9414,9054,9741
Arilje,13298,9583,11167,11538,15038,6844,,15269,5222,7616,7511,12972,12633,11849,11057,13186,13599,10925,11839,11583,10121,13977,11512,13431,19646,9941,16040,2224,17126,12177,8390,10023,15565,12571,13638,13021,3798,9774,8726,9398,2000,8623,13608,14168,18216,4769,15078,7402,2373,10846,10659,10701,6267,5119,9440,9054,11783,13020,12949,5342,7961,5920,14913,13700,4410,7084,10306,1334,15755,11378,9326,11023,12669,16461,12743,5819,7524,15827,13056,13570,5433,7940,12324,14046,8627,10314,6526,12706,9306,7744,8139,12392,12244,9554,9460,10618,8167,14593,13147,10521,905,17062,6887,7089,13058,7779,7899,8123,10252,8052,8797,7988,13280,1774,12673,6383,10032,8192,12914,14283,8556,10812,9245,9526,8167,8247,13093,15313,7304,8538,13482,10504,10275,6040,20056,7168,10195,5675,5829,9903,8489,12418,7902,14808,13953,8281,15633,15840,8208,10936,6757,13136,13283,7854,11428,8412,9698,8978,3173,2953,13540,7764,8749,10578,10080,9123,13509,12280,13120
Babušnica,18880,9555,4600,14531,20620,12250,15620,,19183,12865,8326,18554,18215,17431,16639,13578,1657,16508,17421,7284,16247,5800,8795,9509,8035,9172,6352,16186,3876,3795,12083,8748,2944,4452,4321,13334,12446,11183,14307,14982,16039,7606,19189,19429,12820,10764,5697,16082,16249,11159,14527,11094,9544,11127,19918,6998,17365,7818,13283,14550,8482,14270,5822,4368,14114,20471,19238,14614,13104,16960,20679,11336,4016,7370,4625,15410,11325,10430,3558,18394,19848,12580,17906,19628,15145,15896,13738,18288,14130,18252,12345,4273,3368,12845,6860,10952,13750,1660,16140,10834,14897,7375,21198,21504,5765,12110,9235,13855,5581,9279,14380,12163,18862,15735,16543,18841,10704,9760,6501,19865,11509,16393,14828,15107,13749,12400,18675,5625,13088,8871,4096,16086,15396,11105,10369,9025,17857,14490,16167,6804,8823,12731,16130,5121,2934,12108,5946,6152,12086,16518,9655,15105,8263,12678,16314,11903,6365,7092,17134,13162,19122,13117,15941,16161,15662,9457,12491,17103,5002
BajinaBašta,15320,13098,14745,13560,17060,9824,5143,18847,,9516,11089,14994,14655,13871,13079,15677,17177,13069,13861,15099,9477,17555,15090,17008,23224,13457,19618,3014,20703,15755,10411,13601,19143,16149,17216,15762,7376,11668,10748,11543,7083,12201,15629,16189,21927,8347,18656,6911,3386,13587,12680,13442,9845,8734,5218,12570,13805,16536,15936,7091,11539,7847,18491,17278,7732,2863,7015,5003,18738,13400,5104,13764,16247,20039,16321,6677,11102,19405,16634,15592,5836,9962,14346,16068,12142,12336,8548,14728,11328,5672,10161,15970,15822,11576,13038,14196,10189,18171,15169,13262,4479,20640,7186,7492,16574,9801,11477,12973,13830,11630,10941,10010,15302,3567,14695,8041,12773,11770,16429,16305,10393,12833,10905,11547,10189,10269,15115,18891,9326,12115,17060,12526,12297,9618,23634,10684,11852,7335,5321,13419,12067,15158,8077,18386,17531,10303,19211,19418,10230,12958,10272,15158,16861,9876,13450,10434,13214,12556,3122,6531,15562,9786,9042,12600,12102,12701,17087,14302,16698
Barajevo,8159,10847,8446,5988,9899,3085,7623,12548,9469,,5206,7833,7494,6710,5918,7100,10877,5786,6700,11176,5524,11255,8791,10709,16924,11208,13318,8188,14404,9456,2553,6681,12843,9849,10917,6936,5096,3273,3586,4259,9110,5901,8468,9028,13101,6866,12356,4374,7246,4760,5506,4615,6424,7252,8340,8504,6644,12613,7109,2411,5129,2278,12191,10978,3357,8538,8594,6617,9912,6239,10035,4937,9948,13740,10022,3685,2906,13024,10334,8431,11851,2758,7185,8907,12925,5175,2052,7567,4167,6319,2632,9670,9522,4004,6738,6217,3028,11871,7597,4435,6899,14341,13201,13506,11162,1415,5460,11565,7531,7900,3658,2232,8141,7738,7522,13587,3946,4476,10021,9144,1678,5672,4106,4386,3028,2739,7954,12591,2165,5196,10761,5365,5136,4096,17334,9202,15637,2782,4234,7621,4276,6332,4443,12087,11232,2567,12911,13118,2627,5797,8791,7586,10561,2715,6289,2373,7182,6256,9137,5687,8401,1100,5290,5439,4941,4910,9473,7141,10399
